window,TW,hamming_mean_bias,hann_mean_bias,multitaper_mean_bias
0.01,4.0,0.005661315989601101,0.005373442845100151,0.009351652953336335
0.01,4.0,0.1438977590840265,0.14423788308861085,0.13325798637760017
0.01,4.0,0.11738141695117577,0.1200064905231574,0.08273463898298376
0.01,4.0,0.0014047491487763947,0.0018115611107571805,0.0037364675154919896
0.01,4.0,0.0013495397638952533,0.001482489007054812,0.0033407891943002506
0.01,4.0,0.0016981895749222746,0.0018251928915187631,0.012242193289834728
0.01,4.0,0.03510016899902194,0.035009334614618144,0.039643727455715885
0.01,4.0,0.02260463749719354,0.022037419634458995,0.028685050983726403
0.01,4.0,0.030209777662378638,0.030559452673337338,0.02560613295381662
0.01,4.0,0.017541689703529057,0.017180344635489574,0.018377691360746247
0.01,4.0,0.05153018940782354,0.05112151187101682,0.05260280608926027
0.01,4.0,0.030899065447090823,0.031472503586565094,0.024794922678940283
0.01,4.0,0.3207936157353123,0.3285274200052185,0.230288602909418
0.01,4.0,0.0901352757368898,0.09097795681491731,0.07345842103161163
0.01,4.0,0.007972812951876808,0.007752854315832021,0.009361054736683357
0.01,4.0,0.014209888062545173,0.013785376375448268,0.019557737833454058
0.01,4.0,0.05948896626163548,0.06114169502498684,0.038363935757115795
0.01,4.0,0.12361713619584087,0.12581089035430476,0.09228293454797906
0.01,4.0,0.12688052494684915,0.12695363322595735,0.12711818036520628
0.01,4.0,0.036995887015511444,0.036501401545516766,0.04063645512201307
0.01,4.0,0.022448183865500685,0.021119082698012662,0.03387086795452379
0.01,4.0,0.012230654091136675,0.010530177857581523,0.017774058609712543
0.01,4.0,0.018621179652671536,0.018288111082650698,0.02135500247631728
0.01,4.0,0.04388499250758497,0.04283461829240488,0.05579968700979245
0.01,4.0,0.0465521883381146,0.04548095977212663,0.06906691064206344
0.01,4.0,0.024858546145353093,0.025194078472588078,0.025036454436962424
0.01,4.0,0.0072784578532365364,0.006554576729918715,0.019694277275387077
0.01,4.0,0.0041507566794619175,0.0038037771567034327,0.0032319959405455873
0.01,4.0,0.052881916769919116,0.051347035628133995,0.07172316726318717
0.01,4.0,0.0032930472772037763,0.0024325753928045053,0.00613660213657353
0.01,4.0,0.0024459942369073413,0.00248469631369034,0.0021610489012857006
0.01,4.0,0.057185192383672846,0.056362275731783075,0.06592207271652514
0.01,4.0,0.03731646234113969,0.03773460398104998,0.032514174269282735
0.01,4.0,0.08179746496016313,0.08235603574185943,0.0837533561644899
0.01,4.0,0.005244106456561825,0.005422474724843762,0.004066056462542879
0.01,4.0,0.015668992558080512,0.015651278099986118,0.01622905636001764
0.01,4.0,0.02083850694385377,0.021218146457110284,0.01849509155266587
0.01,4.0,0.046920130617261524,0.04673766626439678,0.052377484955461184
0.01,4.0,0.07806238939933591,0.07865587649789271,0.07233483314039353
0.01,4.0,0.0029996072848914542,0.003002371888212676,0.0035293222882356056
0.01,4.0,0.003515001051670033,0.0034229109558978213,0.003209922689288739
0.01,4.0,0.12751636931782223,0.12535747930009886,0.13158372701434895
0.01,4.0,0.07566347985036219,0.07343098100270137,0.10822055197544592
0.01,4.0,0.17289322811819924,0.17230090979275142,0.1901662693198973
0.01,4.0,0.013819803798188517,0.013969059398109728,0.011935679930219755
0.01,4.0,0.08876425376321999,0.08802272928463627,0.09263509277793607
0.01,4.0,0.038732097922612216,0.03916664599768985,0.032845394950661085
0.01,4.0,0.08729492329926361,0.08686419094168439,0.08716937518439105
0.01,4.0,0.06008554226950118,0.058695747535355544,0.0713346880533491
0.01,4.0,0.00593104009365447,0.00517118664338577,0.013834032741348664
0.01,4.0,0.0524574547528574,0.05298067001068196,0.049903353826751436
0.01,4.0,0.007134519950159299,0.0055138431562108655,0.012270773253523295
0.01,4.0,0.03620702585676837,0.03596696151023367,0.03349441445373115
0.01,4.0,0.0022181224690184273,0.002463041661242885,0.002464817236368369
0.01,4.0,0.02181361049684371,0.02265471209831827,0.01552750693430625
0.01,4.0,0.014525732161219492,0.014230676102103804,0.016430487594541264
0.01,4.0,0.019850118973368414,0.019003301768456358,0.025679617373332055
0.01,4.0,0.04017818718443385,0.03960211430006179,0.05114018071334343
0.01,4.0,0.06706267407525941,0.06682866119827112,0.06855129775102332
0.01,4.0,0.009334582750460656,0.00939320176407243,0.008895935285654029
0.01,4.0,0.00430283261330811,0.004266189804171674,0.004579645321551162
0.01,4.0,0.22932616162939942,0.23405437558741435,0.18844410149108912
0.01,4.0,0.05176466206869923,0.05050623484186584,0.06344029123129631
0.01,4.0,0.04368451878576028,0.04539436580502707,0.02386140745665486
0.01,4.0,0.0069190358128739405,0.006058630180977903,0.009374027547310926
0.01,4.0,0.12708892843508293,0.12729441945455497,0.12807081780092933
0.01,4.0,0.024383046425060565,0.02308234896051572,0.04667812872437671
0.01,4.0,0.010137558011542381,0.007682205566965784,0.037140498268650846
0.01,4.0,0.005747178055769403,0.005828535773314294,0.006200212979570621
0.01,4.0,0.011364076270552354,0.011201768606794891,0.012553804558970202
0.01,4.0,0.18121007221406488,0.1844293990046205,0.1373443920351464
0.01,4.0,0.003666043610343899,0.003592302343424888,0.004219389817705636
0.01,4.0,0.19440856836184278,0.1930300649580829,0.20904580159049577
0.01,4.0,0.014647396281592229,0.01512748352160288,0.008948109693712132
0.01,4.0,0.04890573353835014,0.04951659661234718,0.04098191534090541
0.01,4.0,0.0259490188719389,0.025926415649341384,0.02368328162754369
0.01,4.0,0.01239884222928136,0.01232907681617834,0.014746456293730984
0.01,4.0,0.15967416935471793,0.1628716679117372,0.12594377015412134
0.01,4.0,0.003533627825181978,0.0033622640626155913,0.002469329847028382
0.01,4.0,0.23425724496546046,0.23998842144722574,0.16062267794821672
0.01,4.0,0.00385361804537008,0.003834184276871655,0.0038710155888492066
0.01,4.0,0.04387259086456685,0.04262920650342878,0.05392515024911182
0.01,4.0,0.04848070573911202,0.04793129282979385,0.04747264075576414
0.01,4.0,0.06711118758199028,0.06834064036079984,0.04813768580953344
0.01,4.0,0.04434754475607393,0.043191291312397066,0.056374321433467656
0.01,4.0,0.02461380351823517,0.024369502186781654,0.024869421227039053
0.01,4.0,0.002960287740095449,0.002712197406152628,0.0022128410936093
0.01,4.0,0.024302108340812586,0.02475168580962448,0.01805124557916294
0.01,4.0,0.008079860225688374,0.007570898908649019,0.013578310561628854
0.01,4.0,0.006292739153440539,0.006045470054916105,0.012235491436351527
0.01,4.0,0.002128049777011057,0.0021252270488092166,0.0033430354248678825
0.01,4.0,0.026385461128944642,0.026262613953807124,0.02444743799189053
0.01,4.0,0.003350760800878978,0.003391367120515934,0.003210999860960511
0.01,4.0,0.06511131487818186,0.06395791504913281,0.07691716628855341
0.01,4.0,0.019863965988892528,0.01936675281583065,0.023315115184559764
0.01,4.0,0.00842357808852387,0.008185349029498553,0.01120637917462622
0.01,4.0,0.007316864024722378,0.007611119244202204,0.00411357257441723
0.01,4.0,0.04566133092406311,0.04624381552883962,0.03934586993621873
0.01,4.0,0.15938257616712326,0.16277176774664384,0.11831930404639832
0.01,4.0,0.017177342081872188,0.014732438629657002,0.028006013080202636
0.01,4.0,0.01062071220125766,0.009936090642086236,0.017801868237467367
0.01,4.0,0.020376900661536912,0.02068559305437705,0.01297491914387302
0.01,4.0,0.03664110717777758,0.03581068635640808,0.046190503096930825
0.01,4.0,0.0010110832588753455,0.0006878502693437293,0.004202092647565851
0.01,4.0,0.154133047689127,0.15216053884860128,0.18942237494645012
0.01,4.0,0.20489947367342878,0.20305686620200922,0.22004191287813382
0.01,4.0,0.01461588591150648,0.013831565719870726,0.01941427242701469
0.01,4.0,0.004499557495887109,0.00380050002288373,0.010566506083310197
0.01,4.0,0.20614274547190972,0.2095115571827137,0.16617522934186554
0.01,4.0,0.0012528575498355907,0.001806467427727125,0.006361551051823705
0.01,4.0,0.02127508886799554,0.017248682509430163,0.045270816797982776
0.01,4.0,0.002146063690793552,0.0019218223215983934,0.0022463747736845554
0.01,4.0,0.015167837879851098,0.013572253206327368,0.03833237503243332
0.01,4.0,0.01597172617163291,0.01250935512163429,0.07921225788335126
0.01,4.0,0.02075779172488352,0.020033558570556977,0.025576119346684807
0.01,4.0,0.015239356721726119,0.01510076195249672,0.01484482892647632
0.01,4.0,0.0027367987147630174,0.002598186796175332,0.0034259937178278584
0.01,4.0,0.17022569202720544,0.16751689099976938,0.20293569059971914
0.01,4.0,0.012460475265373423,0.011775799395638277,0.01799998550467865
0.01,4.0,0.05311562875799869,0.05335914179477449,0.04627733509951174
0.01,4.0,0.03189082561738847,0.03002781816347357,0.04355530457115868
0.01,4.0,0.0027565794143781506,0.0026246182879246125,0.0036886528095552
0.01,4.0,0.035366453199328005,0.03480809819755769,0.03765449145825991
0.01,4.0,0.015111754901509539,0.015559787906271267,0.009593014291778102
0.01,4.0,0.12436412461603578,0.12485778476653261,0.12563080081635508
0.01,4.0,0.045742797773039114,0.04537228016602334,0.042954167824204866
0.01,4.0,0.007590739575075762,0.00674885215737665,0.020399180141307666
0.01,4.0,0.057397329470559,0.05887956323942946,0.038481792747037155
0.01,4.0,0.08776571637660256,0.08722280144314566,0.08766362731535124
0.01,4.0,0.01043984024490487,0.010561649942359076,0.010392833520256101
0.01,4.0,0.03787361328704259,0.03801696205703854,0.03054715341896657
0.01,4.0,0.10210889631459916,0.10144484988159141,0.12186741884961808
0.01,4.0,0.02476064735336507,0.022617721525745583,0.056830651058104045
0.01,4.0,0.020544659124168477,0.021086357793300117,0.010989946410710012
0.01,4.0,0.01301139636545782,0.012993715473113624,0.013750128811282843
0.01,4.0,0.02877344596823426,0.02925763025548399,0.025643090167099685
0.01,4.0,0.0032198603944617364,0.003628159265409618,0.0071939528990607555
0.01,4.0,0.08529038911990658,0.08304105019781513,0.11397068585820855
0.01,4.0,0.00785925791995033,0.007785674559771652,0.007649072403063896
0.01,4.0,0.029104983775077392,0.029247913692978404,0.030866710248964035
0.01,4.0,0.02604942943439793,0.024902202896339976,0.04219830492795991
0.01,4.0,0.08421740604306019,0.08591804827570389,0.06118249889429931
0.01,4.0,0.013937149089100398,0.01443161718424367,0.009313038958279483
0.01,4.0,0.0052441353039447535,0.00540396631555972,0.004404739486685998
0.01,4.0,0.01521020564689568,0.015838417981542046,0.00750658676415004
0.01,4.0,0.07378155757757551,0.07434897001579246,0.06663403788373247
0.01,4.0,0.003586245489794878,0.0033048208248713366,0.002943810704346238
0.01,4.0,0.0307950048684278,0.03132610468883342,0.021295484499057174
0.01,4.0,0.18561208208464314,0.18255032329970397,0.23190391956680637
0.01,4.0,0.4193406976103845,0.42259057254905646,0.3665006716275187
